    PID TTY      STAT   TIME COMMAND
  48756 ?        Z      0:00 [sh] <defunct>
  48758 ?        Z      0:00 [sh] <defunct>
  48760 ?        Z      0:00 [sh] <defunct>
  48762 ?        Z      0:00 [sh] <defunct>
  48764 ?        Z      0:00 [sh] <defunct>
  48766 ?        Z      0:00 [sh] <defunct>
  48777 ?        Z      0:00 [sh] <defunct>
  48794 ?        Z      0:00 [sh] <defunct>
  48796 ?        Z      0:00 [sh] <defunct>
  48798 ?        Z      0:00 [sh] <defunct>
  48800 ?        Z      0:00 [sh] <defunct>
  48802 ?        Z      0:00 [sh] <defunct>
  48805 ?        Z      0:00 [sh] <defunct>
  48807 ?        Z      0:00 [sh] <defunct>
  48809 ?        Z      0:00 [sh] <defunct>
  48811 ?        Z      0:00 [sh] <defunct>
  48813 ?        Z      0:00 [sh] <defunct>
  48815 ?        Z      0:00 [sh] <defunct>
  48835 ?        Z      0:00 [sh] <defunct>
  48837 ?        Z      0:00 [sh] <defunct>
  48839 ?        Z      0:00 [sh] <defunct>
  48841 ?        Z      0:00 [sh] <defunct>
  48843 ?        Z      0:00 [sh] <defunct>
  48845 ?        Z      0:00 [sh] <defunct>
  48847 ?        Z      0:00 [sh] <defunct>
  48849 ?        Z      0:00 [sh] <defunct>
  48851 ?        Z      0:00 [sh] <defunct>
  48853 ?        Z      0:00 [sh] <defunct>
  48855 ?        Z      0:00 [sh] <defunct>
  48862 ?        Z      0:00 [sh] <defunct>
  48887 ?        Z      0:00 [sh] <defunct>
  48889 ?        Z      0:00 [sh] <defunct>
  48891 ?        Z      0:00 [sh] <defunct>
  48893 ?        Z      0:00 [sh] <defunct>
  48896 ?        Z      0:00 [sh] <defunct>
  48898 ?        Z      0:00 [sh] <defunct>
  48900 ?        Z      0:00 [sh] <defunct>
  48902 ?        Z      0:00 [sh] <defunct>
  48904 ?        Z      0:00 [sh] <defunct>
  48906 ?        Z      0:00 [sh] <defunct>
  48908 ?        Z      0:00 [sh] <defunct>
  48910 ?        Z      0:00 [sh] <defunct>
  48931 ?        Z      0:00 [sh] <defunct>
  48933 ?        Z      0:00 [sh] <defunct>
  48935 ?        Z      0:00 [sh] <defunct>
  48937 ?        Z      0:00 [sh] <defunct>
  48939 ?        Z      0:00 [sh] <defunct>
  48941 ?        Z      0:00 [sh] <defunct>
  48943 ?        Z      0:00 [sh] <defunct>
  48945 ?        Z      0:00 [sh] <defunct>
  48947 ?        Z      0:00 [sh] <defunct>
  48949 ?        Z      0:00 [sh] <defunct>
  48951 ?        Z      0:00 [sh] <defunct>
  48953 ?        Z      0:00 [sh] <defunct>
  48994 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  48998 ?        S      1:11 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  49018 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  49019 ?        S      1:55 /usr/bin/php8.3 artisan app:tg_parse:specialist
  49022 ?        Z      0:00 [sh] <defunct>
  49024 ?        Z      0:00 [sh] <defunct>
  49026 ?        Z      0:00 [sh] <defunct>
  49028 ?        Z      0:00 [sh] <defunct>
  49030 ?        Z      0:00 [sh] <defunct>
  49032 ?        Z      0:00 [sh] <defunct>
  49034 ?        Z      0:00 [sh] <defunct>
  49036 ?        Z      0:00 [sh] <defunct>
  49038 ?        Z      0:00 [sh] <defunct>
  49040 ?        Z      0:00 [sh] <defunct>
  49042 ?        Z      0:00 [sh] <defunct>
  49044 ?        Z      0:00 [sh] <defunct>
  49046 ?        Z      0:00 [sh] <defunct>
  49048 ?        Z      0:00 [sh] <defunct>
  49068 ?        Z      0:00 [sh] <defunct>
  49070 ?        Z      0:00 [sh] <defunct>
  49072 ?        Z      0:00 [sh] <defunct>
  49074 ?        Z      0:00 [sh] <defunct>
  49076 ?        Z      0:00 [sh] <defunct>
  49078 ?        Z      0:00 [sh] <defunct>
  49080 ?        Z      0:00 [sh] <defunct>
  49082 ?        Z      0:00 [sh] <defunct>
  49084 ?        Z      0:00 [sh] <defunct>
  49086 ?        Z      0:00 [sh] <defunct>
  49088 ?        Z      0:00 [sh] <defunct>
  49090 ?        Z      0:00 [sh] <defunct>
  49093 ?        Z      0:00 [sh] <defunct>
  49096 ?        Z      0:00 [sh] <defunct>
  49120 ?        Z      0:00 [sh] <defunct>
  49122 ?        Z      0:00 [sh] <defunct>
  49124 ?        Z      0:00 [sh] <defunct>
  49128 ?        Z      0:00 [sh] <defunct>
  49130 ?        Z      0:00 [sh] <defunct>
  49133 ?        Z      0:00 [sh] <defunct>
  49136 ?        Z      0:00 [sh] <defunct>
  49143 ?        Z      0:00 [sh] <defunct>
  49145 ?        Z      0:00 [sh] <defunct>
  49147 ?        Z      0:00 [sh] <defunct>
  49149 ?        Z      0:00 [sh] <defunct>
  49151 ?        Z      0:00 [sh] <defunct>
  49153 ?        Z      0:00 [sh] <defunct>
  49174 ?        Z      0:00 [sh] <defunct>
  49176 ?        Z      0:00 [sh] <defunct>
  49178 ?        Z      0:00 [sh] <defunct>
  49180 ?        Z      0:00 [sh] <defunct>
  49182 ?        Z      0:00 [sh] <defunct>
  49184 ?        Z      0:00 [sh] <defunct>
  49186 ?        Z      0:00 [sh] <defunct>
  49192 ?        Z      0:00 [sh] <defunct>
  49194 ?        Z      0:00 [sh] <defunct>
  49196 ?        Z      0:00 [sh] <defunct>
  49198 ?        Z      0:00 [sh] <defunct>
  49200 ?        Z      0:00 [sh] <defunct>
  49202 ?        Z      0:00 [sh] <defunct>
  49204 ?        Z      0:00 [sh] <defunct>
  49229 ?        Z      0:00 [sh] <defunct>
  49231 ?        Z      0:00 [sh] <defunct>
  49233 ?        Z      0:00 [sh] <defunct>
  49235 ?        Z      0:00 [sh] <defunct>
  49237 ?        Z      0:00 [sh] <defunct>
  49239 ?        Z      0:00 [sh] <defunct>
  49241 ?        Z      0:00 [sh] <defunct>
  49244 ?        Z      0:00 [sh] <defunct>
  49246 ?        Z      0:00 [sh] <defunct>
  49248 ?        Z      0:00 [sh] <defunct>
  49250 ?        Z      0:00 [sh] <defunct>
  49252 ?        Z      0:00 [sh] <defunct>
  49254 ?        Z      0:00 [sh] <defunct>
  49256 ?        Z      0:00 [sh] <defunct>
  49285 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  49294 ?        S      1:11 php /var/www/www-root/data/www/progs.com/artisan schedule:run
